t,devId,seq,ax,ay,az,gx,gy,gz,mx,my,mz
1687758.365793,3954085724,2971,-0.623046875,-0.53955078125,0.7724609375,72.75390625,418.212890625,1.03759765625,-0.33033502101898193,0.26176345348358154,0.03972993418574333
1687758.365793,3954085724,2972,-0.14453125,0.21728515625,1.35498046875,272.5830078125,413.0859375,46.630859375,-0.3305801451206207,0.24281921982765198,0.1107206642627716
1687758.365793,3954085724,2973,-0.7529296875,0.56298828125,1.8662109375,58.9599609375,540.4052734375,212.890625,-0.3178325295448303,0.21721887588500977,0.17772597074508667
1687758.365793,3954085724,2974,-1.28759765625,0.31982421875,1.982421875,-22.0947265625,669.12841796875,104.06494140625,-0.27738332748413086,0.20185866951942444,0.2335221916437149
1687758.474274,3954085724,2975,-2.2138671875,0.3984375,2.49853515625,131.7138671875,762.3291015625,-140.9912109375,-0.20923258364200592,0.19981065392494202,0.306007444858551
1687758.474274,3954085724,2976,-3.41064453125,1.51318359375,2.47900390625,227.783203125,660.09521484375,-335.0830078125,-0.1150963082909584,0.1742103099822998,0.3510928452014923
1687758.474274,3954085724,2977,-3.728515625,1.94287109375,1.86279296875,-51.1474609375,59.08203125,-129.57763671875,-0.0415523387491703,0.17062626779079437,0.3637964427471161
1687758.474274,3954085724,2978,-1.07275390625,0.66748046875,1.69287109375,-228.515625,-435.24169921875,123.35205078125,-0.08862048387527466,0.1959705948829651,0.34386923909187317
1687758.474274,3954085724,2979,-0.140625,0.490234375,1.22314453125,-80.322265625,-258.544921875,-3.60107421875,-0.1310308426618576,0.21773087978363037,0.3244401514530182
1687758.584394,3954085724,2980,-0.8564453125,0.99658203125,1.19482421875,-200.25634765625,-246.03271484375,115.53955078125,-0.15946784615516663,0.22950704395771027,0.31721654534339905
1687758.584394,3954085724,2981,-0.95556640625,0.62158203125,1.1337890625,-268.6767578125,-263.0615234375,72.265625,-0.20874230563640594,0.2466592788696289,0.25942760705947876
